Data tragerii->,Nr.1,Nr.2,Nr.3,Nr.4,Nr.5,Nr.6
978,4,44,20,10,7,11
979,24,42,2,30,26,28
980,2,48,9,34,42,8
981,46,37,3,43,34,30
982,46,13,48,29,39,3
983,38,49,22,34,46,14
984,19,46,13,9,15,14
985,40,21,47,2,31,45
986,20,26,43,17,41,38
987,43,17,22,20,34,23
988,25,19,12,45,49,5
989,48,1,43,32,26,24
990,41,42,13,4,3,49
991,26,10,4,36,25,46
992,30,1,46,28,48,45
993,30,3,37,5,20,2
994,31,22,29,13,15,21
995,38,6,34,35,15,46
996,30,1,42,3,18,49
997,4,16,39,29,45,11
998,27,42,31,6,9,21
999,24,12,46,6,26,27
1000,17,23,5,35,34,24
1001,27,32,20,28,29,12
1002,16,33,21,8,23,43
1003,26,46,1,27,30,13
1004,23,10,48,44,19,18
1005,42,2,4,21,1,29
1006,5,33,36,31,39,46
1007,24,35,23,7,15,38
1008,17,34,11,2,45,30
1009,33,14,49,46,36,45
1010,49,35,33,24,36,43
1011,4,48,27,26,30,44
1012,39,13,23,4,8,29
1013,8,7,18,25,41,12
1014,47,11,25,15,40,7
1015,9,26,43,5,7,24
1016,22,1,45,34,15,26
1017,33,22,49,31,35,10
1018,43,40,48,5,11,29
1019,21,44,13,5,9,41
1020,20,8,43,46,48,26
1021,11,33,46,15,4,44
1022,44,32,45,21,31,37
1023,33,43,5,29,47,21
1024,16,5,17,13,4,28
1025,48,30,15,22,5,35
1026,21,43,17,14,12,11
1027,16,22,13,20,6,1
1028,9,18,11,49,21,29
1029,28,5,8,17,13,24
1030,39,29,15,33,23,7
1031,47,29,36,42,25,20
1032,34,25,3,43,33,6
1033,15,23,21,29,44,6
1034,49,18,30,10,22,27
1035,15,27,35,17,7,44
1036,22,44,42,10,14,49
1037,20,3,9,39,24,11
1038,18,3,26,16,13,5
1039,40,45,24,33,13,9
1040,13,18,32,38,46,26
1041,22,13,42,36,26,38
1042,31,43,44,13,32,16
1043,6,19,36,25,2,32
1044,7,48,17,26,10,15
1045,13,34,39,28,15,37
1046,12,37,4,30,46,36
1047,30,22,19,34,32,15
1048,25,16,27,33,26,22
1049,28,8,43,31,18,24
1050,19,36,48,23,41,29
1051,13,12,18,38,25,33
1052,11,36,41,38,43,18
1053,12,45,25,18,30,21
1054,37,10,35,41,20,43
1055,23,28,36,3,2,38
1056,37,43,38,36,40,20
1057,35,17,48,45,36,1
1058,38,40,43,33,32,29
1059,10,15,3,43,37,28
1060,13,26,45,2,11,31
1061,48,24,29,23,7,32
1062,47,9,41,2,30,10
1063,30,17,49,27,3,5
1064,11,31,35,18,7,22
1065,17,26,1,29,6,10
1066,49,29,45,31,39,26
1067,8,42,6,47,2,20
1068,3,24,27,29,26,23
1069,24,2,13,30,26,27
1070,36,33,26,3,10,14
1071,26,33,38,30,3,23
1072,44,20,25,16,31,24
1073,23,17,9,44,11,31
1074,49,26,24,19,11,15
1075,18,6,32,30,24,40
1076,49,27,26,41,16,31
1077,12,13,15,38,43,34
1078,24,8,10,13,28,44
1079,14,20,24,9,4,39
1080,16,20,39,49,28,22
1081,48,25,2,22,31,43
1082,21,34,18,32,35,10
1083,30,27,9,40,44,7
1084,49,16,6,43,36,9
1085,14,23,22,30,6,15
1086,12,46,49,47,35,45
1087,46,17,8,26,15,23
1088,33,37,19,47,22,26
1089,49,46,26,12,22,39
1090,13,19,33,42,3,28
1091,18,24,17,46,41,12
1092,45,48,33,5,9,15
1093,35,47,6,20,5,45
1094,27,38,34,11,5,47
1095,36,40,8,33,5,49
1096,25,47,43,6,18,20
1097,6,23,2,43,13,40
1098,31,10,39,11,35,29
1099,18,38,41,33,6,7
1100,39,38,26,24,18,16
1101,31,37,32,38,22,13
1102,12,32,4,30,41,33
1103,13,8,15,2,1,37
1104,33,29,39,17,41,13
1105,16,7,22,13,1,6
1106,46,41,17,6,29,2
1107,14,4,13,34,12,40
1108,8,12,42,6,20,29
1109,2,47,23,48,33,8
1110,23,44,6,5,45,11
1111,23,12,36,38,41,17
1112,8,48,28,23,7,17
1113,36,49,16,2,47,19
1114,23,37,42,47,21,48
1115,30,11,23,1,6,43
1116,5,10,25,18,35,27
1117,3,31,22,35,40,18
1118,43,34,7,30,28,3
1119,3,20,45,42,11,31
1120,19,30,33,31,1,41
1121,30,37,33,34,29,16
1122,5,4,27,3,41,37
1123,25,28,39,40,17,37
1124,12,6,46,37,47,17
1125,49,23,13,10,8,38
1126,45,7,36,24,21,25
1127,48,9,32,20,17,6
1128,4,3,13,31,34,49
1129,29,43,36,4,30,47
1130,11,16,27,3,45,4
1131,11,40,47,22,9,48
1132,4,23,20,2,14,43
1133,45,23,16,35,24,1
1134,12,18,29,49,9,11
1135,35,47,26,16,18,48
1136,34,35,25,2,8,10
1137,1,36,38,29,15,21
1138,33,22,3,2,34,11
1139,17,29,14,46,11,23
1140,4,12,47,26,11,17
1141,20,18,10,38,22,41
1142,15,33,23,9,47,24
1143,30,25,1,5,18,9
1144,13,4,11,8,9,27
1145,15,14,36,21,11,9
1146,44,9,7,34,33,29
1147,23,32,37,27,46,39
1148,37,20,21,32,6,44
1149,3,46,26,36,17,10
1150,46,36,47,6,25,38
1151,31,47,29,40,7,5
1152,17,36,45,47,19,10
1153,27,21,31,4,19,35
1154,13,16,34,15,17,9
1155,9,35,39,12,46,18
1156,21,45,29,15,26,27
1157,27,13,16,35,45,11
1158,23,1,30,6,20,46
1159,42,45,43,5,31,46
1160,5,19,25,47,45,38
1161,16,17,5,11,26,39
1162,20,10,38,24,5,19
1163,19,11,36,35,43,30
1164,35,4,30,26,47,3
1165,45,19,16,33,38,26
1166,28,30,9,22,41,4
1167,4,9,3,49,39,19
1168,22,10,31,6,23,8
1169,17,8,32,25,6,33
1170,32,26,5,34,19,3
1171,35,36,25,32,10,48
1172,41,6,17,21,12,35
1173,5,19,2,18,7,20
1174,13,12,3,31,2,37
1175,7,9,43,47,42,31
1176,9,20,33,38,41,4
1177,8,9,48,5,18,46
1178,7,9,37,35,8,46
1179,35,46,34,47,41,37
1180,3,22,21,15,10,41
1181,38,4,26,12,20,13
1182,27,18,2,1,39,45
1183,5,21,34,14,11,35
1184,38,22,14,37,19,23
1185,16,17,24,21,48,32
1186,13,25,8,21,37,44
1187,1,48,24,4,33,3
1188,34,13,33,29,7,49
1189,18,34,32,40,49,46
1190,6,8,37,27,39,5
1191,10,22,2,33,45,11
1192,12,30,36,14,4,45
1193,5,27,6,8,30,48
1194,36,14,4,13,1,29
1195,41,22,13,34,3,27
1196,49,34,7,8,33,16
1197,36,39,22,7,8,28
1198,37,43,41,11,20,7
1199,14,29,39,5,4,23
1200,44,21,7,1,41,34
1201,33,6,25,5,31,49
1202,15,23,9,5,25,28
1203,3,9,20,39,15,46
1204,41,18,11,34,30,21
1205,48,20,26,24,1,9
1206,2,38,29,7,48,26
1207,14,47,21,27,39,45
1208,44,17,7,35,38,16
1209,37,15,22,8,36,2
1210,32,22,3,35,29,17
1211,38,28,1,2,36,42
1212,27,48,19,2,39,25
1213,25,38,34,6,4,15
1214,38,28,13,14,6,33
1215,11,24,46,30,38,19
1216,3,6,27,20,29,48
1217,12,28,36,24,38,22
1218,15,44,19,7,37,30
1219,3,10,24,48,13,47
1220,25,21,46,26,28,11
1221,31,10,16,33,38,8
1222,9,45,10,35,43,13
1223,44,39,18,2,41,22
1224,3,19,39,37,6,4
1225,25,4,6,20,22,44
1226,42,26,44,9,32,5
1227,49,27,42,13,21,15
1228,40,6,3,28,2,42
1229,36,28,41,27,24,43
1230,43,13,38,17,28,31
1231,30,13,46,38,8,33
1232,49,25,17,36,6,21
1233,11,20,45,7,26,4
1234,2,7,39,36,9,33
1235,44,7,5,47,23,36
1236,36,6,42,4,8,5
1237,16,5,18,11,4,9
1238,36,46,39,43,41,25
1239,28,46,45,48,30,19
1240,32,15,3,14,39,43
1241,2,48,30,44,26,18
1242,40,19,5,30,3,32
1243,43,1,33,44,34,31
1244,27,22,1,14,28,17
1245,41,43,16,6,22,48
1246,22,13,6,41,17,43
1247,3,46,5,2,1,22
1248,25,28,48,19,30,10
1249,45,32,1,7,23,44
1250,39,14,31,38,12,21
1251,10,48,9,3,27,22
1252,32,27,33,24,22,12
1253,37,26,15,49,6,10
1254,10,9,22,23,25,16
1255,12,30,39,31,7,46
1256,1,47,33,35,14,8
1257,7,35,25,37,31,15
1258,41,19,40,39,5,4
1259,36,15,8,23,13,43
1260,6,38,45,27,15,33
1261,43,41,37,13,29,47
1262,25,37,5,27,17,19
1263,4,34,49,23,40,48
1264,41,26,38,14,13,32
1265,32,43,4,46,12,35
1266,13,1,10,12,19,2
1267,4,6,13,41,2,44
1268,4,30,35,10,1,25
1269,9,41,37,36,39,49
1270,4,12,18,14,22,37
1271,47,4,28,39,43,16
1272,34,42,8,16,13,15
1273,27,22,35,10,48,23
1274,46,35,40,27,7,24
1275,21,17,45,46,18,1
1276,7,9,47,40,31,17
1277,37,12,38,14,23,22
1278,22,25,27,5,1,23
1279,27,13,34,36,25,48
1280,7,33,45,3,11,18
1281,37,9,35,1,42,29
1282,14,24,33,44,5,16
1283,47,13,28,41,32,27
1284,7,43,27,13,17,42
1285,34,9,28,11,31,21
1286,24,37,19,16,32,17
1287,6,9,40,27,24,17
1288,13,26,5,20,47,43
1289,17,6,5,49,21,31
1290,8,5,20,23,16,25
1291,46,7,12,33,15,26
1292,6,45,17,34,33,27
1293,2,26,5,20,12,37
1294,21,2,24,41,1,12
1295,29,45,25,7,2,44
1296,19,7,1,23,44,22
1297,4,6,8,45,48,39
1298,15,25,7,19,9,47
1299,27,15,34,36,7,25
1300,45,32,36,9,48,31
1301,49,34,33,10,48,43
1302,46,12,36,37,35,13
1303,14,42,37,41,47,49
1304,44,22,8,29,1,36
1305,40,3,13,18,16,30
1306,19,15,43,34,26,22
1307,14,37,48,44,11,22
1308,23,7,15,31,43,28
1309,2,17,1,28,21,44
1310,37,9,5,24,12,21
1311,48,23,19,4,29,24
1312,47,46,3,4,33,8
1313,13,16,24,22,25,4
1314,34,30,49,1,15,44
1315,32,34,7,22,37,31
1316,13,33,16,25,1,9
1317,20,7,1,33,19,43
1318,46,28,17,44,20,22
1319,3,14,10,47,2,26
1320,42,36,15,48,35,32
1321,20,44,45,12,19,9
1322,44,49,47,30,12,13
1323,11,46,10,33,5,6
1324,36,1,34,35,27,38
1325,12,40,30,29,9,5
1326,6,43,11,10,7,13
1327,12,41,31,23,48,44
1328,26,49,34,1,12,14
1329,10,42,43,34,45,36
1330,29,33,6,4,42,12
1331,14,44,40,30,22,5
1332,23,42,49,1,41,3
1333,10,3,31,47,28,38
1334,14,31,16,24,1,27
1335,49,41,3,26,7,31
1336,14,42,37,4,33,20
1337,40,48,34,19,21,44
1338,38,14,23,34,17,42
1339,43,8,32,2,1,27
1340,6,24,20,9,38,36
1341,28,21,12,7,23,11
1342,15,38,45,9,29,28
1343,25,39,37,20,38,3
1344,49,35,44,26,7,18
1345,13,12,33,29,5,17
1346,5,47,41,13,12,6
1347,10,27,37,30,16,13
1348,15,31,30,39,7,25
1349,2,18,1,42,17,7
1350,40,48,4,12,30,7
1351,38,2,5,25,27,11
1352,39,26,38,5,36,6
1353,1,26,12,23,44,35
1354,13,43,6,20,3,23
1355,29,31,37,36,16,41
1356,31,45,8,18,38,19
1357,6,19,40,49,45,30
1358,5,27,43,22,20,13
1359,46,18,33,40,7,24
1360,19,1,22,38,18,39
1361,20,22,32,36,33,5
1362,5,8,45,11,22,9
1363,19,23,12,17,4,16
1364,29,11,15,7,5,9
1365,32,39,38,36,27,35
1366,11,43,2,28,48,42
1367,32,4,3,45,36,43
1368,4,39,23,1,5,47
1369,39,7,21,31,4,9
1370,25,32,48,31,47,39
1371,13,33,37,36,34,21
1372,33,42,43,45,1,37
1373,15,41,21,33,49,34
1374,25,19,24,13,14,41
1375,8,33,36,34,9,5
1376,42,29,37,5,43,20
1377,38,7,17,13,25,24
1378,14,6,13,46,37,9
1379,41,18,47,29,45,21
1380,18,12,7,46,4,33
1381,45,7,9,34,25,11
1382,36,37,17,4,12,26
1383,29,9,5,30,27,34
1384,12,35,29,19,1,23
1385,31,15,4,35,18,24
1386,47,46,34,22,26,6
1387,37,33,29,23,14,30
1388,31,20,39,22,13,18
1389,33,21,24,1,28,5
1390,9,40,18,42,16,32
1391,8,19,46,31,15,11
1392,8,33,24,29,7,48
1393,9,7,26,44,39,35
1394,7,48,40,37,19,38
1395,20,9,48,14,12,35
1396,39,48,1,20,23,21
1397,18,35,6,36,3,48
1398,29,34,24,6,14,1
1399,28,40,27,29,30,9
1400,29,34,3,4,5,27
1401,1,31,27,17,4,32
1402,27,32,18,2,24,28
1403,4,9,37,8,35,12
1404,45,33,24,25,29,23
1405,23,45,2,30,37,13
1406,16,4,17,38,46,36
1407,36,34,5,9,6,3
1408,40,8,39,26,15,7
1409,12,7,40,23,4,10
1410,27,18,40,35,32,26
1411,11,35,4,39,40,38
1412,18,16,20,5,38,15
1413,39,2,1,41,11,25
1414,28,48,33,9,12,14
1415,23,20,13,3,9,32
1416,48,49,14,35,39,28
1417,1,9,7,18,2,29
1418,13,34,2,6,11,49
1419,10,19,32,39,35,13
1420,4,18,8,22,15,48
1421,34,43,32,39,17,6
1422,13,5,41,23,16,48
1423,41,20,2,46,17,10
1424,40,21,3,45,49,41
1425,49,38,32,36,10,22
1426,42,15,10,16,44,14
1427,44,48,19,42,49,28
1428,41,39,8,18,1,4
1429,33,7,20,24,17,14
1430,15,38,46,41,32,6
1431,32,40,31,16,12,13
1432,15,17,37,48,28,27
1433,10,42,2,20,35,19
1434,18,26,45,11,32,28
1435,2,27,15,36,35,30
1436,15,29,34,33,22,26
1437,9,32,16,3,11,17
1438,43,40,4,44,6,49
1439,42,6,36,45,37,19
1440,27,22,32,28,15,14
1441,8,3,11,1,10,36
1442,25,17,10,44,45,41
1443,33,18,41,5,38,3
1444,10,40,43,13,46,27
1445,21,40,12,25,35,27
1446,44,7,14,4,20,22
1447,11,9,26,10,30,6
1448,43,19,29,12,38,20
1449,2,31,33,36,1,18
1450,26,32,29,8,27,37
1451,31,26,32,38,45,36
1452,16,14,19,20,25,13
1453,28,14,16,24,23,42
1454,39,18,12,30,25,36
1455,49,6,14,35,24,3
1456,40,48,8,38,43,4
1457,42,5,46,2,43,24
1458,38,12,3,27,24,35
1459,43,25,31,7,17,39
1460,25,27,28,14,22,7
1461,20,49,21,15,19,2
1462,27,29,36,19,44,25
1463,45,40,30,37,43,27
1464,2,17,33,37,34,42
1465,11,19,13,6,24,48
1466,34,20,12,45,9,1
1467,19,22,45,34,48,32
1468,47,38,31,44,18,39
1469,48,26,36,5,25,38
1470,44,12,26,23,45,43
1471,25,3,14,36,46,2
1472,47,11,26,41,28,16
1473,47,41,22,9,33,3
1474,41,45,37,14,8,5
1475,15,7,8,40,33,49
1476,7,38,30,29,28,21
1477,42,19,22,5,45,23
1478,17,43,37,40,29,16
1479,20,28,38,15,48,37
1480,9,39,23,36,3,22
1481,49,32,19,47,42,22
1482,15,21,4,3,5,8
1483,14,13,39,45,4,32
1484,9,29,31,39,3,21
1485,13,18,31,48,24,19
1486,23,15,4,31,35,47
1487,20,42,9,24,12,44
1488,36,8,34,6,5,49
1489,14,16,33,19,17,49
1490,38,41,45,44,8,34
1491,47,28,40,27,9,34
1492,39,16,9,8,18,26
1493,16,34,3,12,28,15
1494,10,40,42,37,26,27
1495,10,19,1,16,18,14
1496,49,42,34,10,19,41
1497,49,24,44,5,22,38
1498,10,9,14,43,25,35
1499,25,15,43,35,36,37
1500,10,11,2,12,49,39
1501,3,39,33,40,2,17
1502,20,24,13,11,31,3
1503,43,24,36,32,12,19
1504,5,37,11,36,6,39
1505,7,14,20,37,43,27
1506,33,39,23,2,12,24
1507,4,40,13,27,29,16
1508,38,29,16,8,28,36
1509,39,5,46,18,32,37
1510,1,22,18,47,26,32
1511,46,18,43,8,20,35
1512,45,20,35,16,43,13
1513,27,32,34,15,21,1
1514,33,22,4,42,17,6
1515,47,37,17,48,7,41
1516,48,1,46,2,32,26
1517,17,3,26,21,29,34
1518,9,23,41,37,43,4
1519,43,14,42,49,4,28
1520,11,2,9,10,38,12
1521,29,39,33,6,5,26
1522,42,47,23,20,25,5
1523,46,38,23,15,18,3
1524,17,5,16,33,32,27
1525,25,32,20,28,6,30
1526,12,37,9,41,15,46
1527,43,12,2,4,8,39
1528,2,42,45,33,41,28
1529,20,30,28,8,5,49
1530,11,15,19,38,21,44
1531,33,30,10,47,5,49
1532,21,24,43,20,13,2
1533,26,35,38,17,5,23
1534,32,4,40,44,47,22
1535,32,1,45,41,44,37
1536,30,13,12,24,15,19
1537,48,36,24,21,47,37
1538,1,12,28,38,16,49
1539,7,22,9,29,2,32
1540,13,18,47,14,15,7
1541,28,49,20,22,8,7
1542,13,46,36,39,21,35
1543,25,16,18,20,23,46
1544,38,30,11,7,5,2
1545,33,37,31,25,28,8
1546,21,37,34,29,48,7
1547,23,30,39,14,40,35
1548,25,46,4,2,24,10
1549,21,14,26,19,3,28
1550,2,33,38,6,36,34
1551,37,32,30,13,18,4
1552,9,15,25,30,17,6
1553,22,19,12,28,29,23
1554,15,24,46,38,33,3
1555,14,13,17,38,21,7
1556,13,49,8,17,28,48
1557,6,37,34,17,9,14
1558,16,35,21,14,34,45
1559,28,16,19,36,46,4
1560,18,49,20,11,30,9
1561,43,12,24,36,7,16
1562,42,18,41,7,35,26
1563,9,24,2,42,25,28
1564,22,38,29,37,13,25
1565,37,11,47,44,31,13
1566,8,4,48,12,29,33
1567,37,17,32,21,26,27
1568,16,5,40,45,14,25
1569,44,35,34,29,36,32
1570,12,24,8,30,4,40
1571,22,28,48,39,20,24
1572,7,33,26,45,38,43
1573,12,2,28,32,7,25
1574,18,1,37,34,43,11
1575,10,32,37,23,45,39
1576,47,41,23,10,21,45
1577,40,11,47,31,38,29
1578,42,21,24,43,44,2
1579,38,10,3,4,6,17
1580,14,47,24,2,13,33
1581,23,14,39,37,46,8
1582,49,16,29,32,48,42
1583,6,32,36,46,8,48
1584,49,24,10,18,27,23
1585,39,44,27,31,5,25
1586,47,33,10,16,27,2
1587,4,42,46,41,26,37
1588,6,39,42,44,49,38
1589,36,27,48,2,6,26
1590,40,18,25,33,39,43
1591,40,26,32,22,23,36
1592,45,46,1,34,8,13
1593,20,42,39,2,25,28
1594,3,8,38,25,1,14
1595,3,4,46,9,44,15
1596,2,12,19,17,45,26
1597,27,10,7,34,32,9
1598,1,14,35,41,7,11
1599,15,8,21,2,18,45
1600,48,11,31,8,43,21
1601,17,5,15,31,42,43
1602,32,46,9,40,17,29
1603,22,13,24,3,5,34
1604,27,28,11,8,12,14
1605,14,2,23,20,47,49
1606,16,5,33,4,36,20
1607,4,5,32,10,22,46
1608,2,7,46,4,6,16
1609,6,49,24,16,5,9
1610,21,35,43,5,7,46
1611,23,10,25,13,44,39
1612,13,46,31,35,30,12
1613,19,16,21,39,7,28
1614,47,38,10,25,20,15
1615,37,34,26,18,40,11
1616,12,36,24,16,43,10
1617,41,2,27,28,30,42
1618,6,48,34,12,22,38
1619,38,28,6,2,22,23
1620,9,29,45,5,3,11
1621,35,31,7,27,26,19
1622,48,21,24,4,39,1
1623,47,8,6,15,11,26
1624,4,40,34,17,42,49
1625,7,11,12,10,46,37
1626,6,34,36,9,26,16
1627,6,38,47,34,32,14
1628,24,44,37,45,8,41
1629,44,20,48,49,1,25
1630,17,9,44,21,32,35
1631,41,8,38,21,9,36
1632,32,39,17,19,5,47
1633,2,41,29,43,44,48
1634,16,25,14,36,8,33
1635,29,38,44,27,18,17
1636,11,2,34,36,48,8
1637,27,23,37,4,30,8
1638,22,49,18,7,47,6
1639,38,20,25,40,4,3
1640,22,29,11,9,2,39
1641,15,7,6,24,34,28
1642,41,11,9,45,42,19
1643,41,12,46,15,40,37
1644,7,4,10,32,46,45
1645,17,5,25,20,43,23
1646,13,21,49,3,40,43
1647,23,46,18,17,47,15
1648,43,23,25,3,22,17
1649,15,32,21,7,23,40
1650,28,30,49,29,34,25
1651,8,5,36,3,2,41
1652,26,44,7,16,25,11
1653,41,10,28,36,27,16
1654,6,26,13,24,47,34
1655,44,2,24,15,48,33
1656,15,39,44,36,19,33
1657,33,32,37,41,8,45
1658,4,46,28,30,49,17
1659,14,49,36,11,35,8
1660,7,31,35,12,48,44
1661,21,41,15,1,37,34
1662,25,36,29,49,47,31
1663,35,10,3,33,48,34
1664,17,13,35,9,30,39
1665,34,26,2,16,36,43
1666,40,19,11,37,20,6
1667,32,1,49,40,30,20
1668,41,36,10,20,17,12
1669,37,45,4,25,5,6
1670,39,32,49,24,25,15
1671,48,17,49,19,32,29
1672,25,46,15,4,7,22
1673,43,16,6,29,25,37
1674,36,44,28,23,25,21
1675,13,37,32,21,7,33
1676,1,40,42,47,25,35
1677,46,26,43,30,38,21
1678,26,48,8,2,39,25
1679,46,6,20,45,32,24
1680,32,40,22,14,9,18
1681,17,32,49,37,35,41
1682,8,34,9,35,18,40
1683,12,10,1,3,47,35
1684,3,45,22,48,10,13
1685,28,21,17,23,4,48
1686,11,34,30,3,9,5
1687,33,45,25,10,4,48
1688,2,33,26,24,12,16
1689,43,24,39,4,32,7
1690,1,45,43,48,9,21
1691,34,29,48,30,4,27
1692,28,29,18,4,17,16
1693,29,38,6,25,8,34
1694,6,37,29,32,18,42
1695,13,37,25,12,30,46
1696,2,14,12,3,25,17
1697,1,9,17,20,22,49
1698,48,14,12,1,17,23
1699,4,49,29,23,31,1
1700,10,12,3,48,36,4
1701,44,16,27,33,31,11
1702,30,34,38,4,6,27
1703,24,21,13,37,39,6
1704,45,36,11,44,42,16
1705,44,11,22,5,15,47
1706,1,46,25,27,17,36
1707,36,8,22,31,44,12
1708,31,6,34,4,44,49
1709,23,2,9,18,33,32
1710,5,23,13,9,2,4
1711,45,33,40,21,35,5
1712,10,38,5,7,14,45
1713,14,6,33,11,5,49
1714,46,49,13,8,43,47
1715,15,48,5,8,30,1
1716,3,45,26,40,47,32
1717,5,3,44,26,42,9
1718,18,46,11,41,5,10
1719,28,38,23,15,35,3
1720,1,25,20,17,22,4
1721,44,49,20,30,15,6
1722,41,14,48,8,6,49
1723,37,43,6,46,17,7
1724,35,39,19,47,43,20
1725,6,19,47,9,31,36
1726,13,33,40,9,12,36
1727,43,33,3,44,29,37
1728,31,8,2,6,10,19
1729,31,44,35,32,7,43
1730,8,31,37,49,2,6
1731,2,22,30,5,41,27
1732,49,21,17,32,34,11
1733,17,23,43,1,28,47
1734,28,40,19,4,41,14
1735,24,11,14,44,41,16
1736,25,10,44,27,31,11
1737,35,18,12,2,17,7
1738,38,28,31,15,6,32
1739,39,11,21,13,47,30
1740,30,34,11,40,33,19
1741,13,26,33,27,31,21
1742,44,25,2,29,46,45
1743,5,12,38,2,14,48
1744,20,34,15,7,3,17
1745,48,11,45,12,30,32
1746,33,28,19,9,17,10
1747,4,29,47,1,30,43
1748,23,3,13,25,19,32
1749,31,37,27,47,22,45
1750,8,37,13,25,36,21
1751,15,1,35,17,11,21
1752,40,32,45,24,48,26
1753,21,45,19,38,27,18
1754,21,34,4,49,9,46
1755,40,33,29,27,13,39
1756,8,22,48,27,21,16
1757,28,3,22,45,39,26
1758,28,11,14,29,13,33
1759,19,44,22,23,12,32
1760,26,41,4,46,30,16
1761,19,42,1,32,33,47
1762,25,23,38,46,27,5
1763,11,24,19,4,41,20
1764,15,49,28,25,23,47
1765,12,22,15,31,25,32
1766,41,5,48,43,21,32
1767,23,49,17,45,32,24
1768,29,17,1,46,25,31
1769,13,19,25,1,15,6
1770,28,47,38,31,9,40
1771,33,26,49,22,12,2
1772,45,5,39,30,24,46
1773,42,39,48,33,24,41
1774,20,11,16,36,15,49
1775,4,36,6,46,32,44
1776,30,42,23,16,8,39
1777,30,22,17,6,18,28
1778,40,36,19,2,18,12
1779,2,11,32,34,38,28
1780,23,22,36,6,20,33
1781,12,34,17,16,20,15
1782,46,29,35,44,2,4
1783,47,6,28,36,1,20
1784,34,35,1,5,36,47
1785,17,49,22,10,45,33
1786,2,24,39,16,4,10
1787,40,28,5,12,19,44
1788,39,36,47,6,1,3
1789,22,16,47,34,48,20
1790,45,16,3,9,34,13
1791,25,23,45,18,11,36
1792,35,1,15,27,3,14
1793,41,36,4,15,32,20
1794,35,5,16,25,36,9
1795,13,28,46,35,44,39
1796,10,27,2,41,45,37
1797,24,8,3,26,21,25
1798,19,29,5,34,41,2
1799,9,25,5,35,40,33
1800,25,28,9,45,34,43
1801,43,42,18,2,16,15
1802,40,18,7,29,33,14
1803,46,25,42,23,26,16
1804,9,46,34,11,18,35
1805,21,15,27,37,29,14
1806,8,48,22,2,41,27
1807,3,8,11,26,48,46
1808,16,1,47,25,26,15
1809,43,17,34,35,47,3
1810,6,23,7,30,21,46
1811,46,36,45,7,35,13
1812,2,45,27,4,38,48
1813,22,10,4,6,18,9
1814,11,38,36,1,27,16
1815,33,5,30,44,4,27
1816,18,36,32,49,29,6
1817,15,44,16,19,31,23
1818,18,25,45,23,27,40
1819,26,42,45,8,1,5
1820,32,44,21,38,35,16
1821,1,18,10,30,17,44
1822,46,29,30,1,10,2
1823,43,19,27,11,14,46
1824,45,8,5,37,19,1
1825,3,48,14,47,9,16
1826,4,25,6,17,48,14
1827,30,21,38,33,8,11
1828,16,19,48,25,32,10
1829,34,1,17,10,39,18
1830,32,25,45,43,40,2
1831,46,41,12,44,39,22
1832,14,35,29,8,23,21
1833,24,38,26,28,7,17
1834,47,30,45,37,12,17
1835,32,17,46,5,48,33
1836,28,23,24,45,10,37
1837,38,37,1,33,41,15
1838,11,34,1,7,37,18
1839,18,37,8,43,26,45
1840,38,6,36,22,48,47
1841,36,30,20,4,5,10
1842,27,4,47,15,10,41
1843,19,17,5,2,41,28
1844,45,13,15,32,2,23
1845,43,48,31,33,24,45
1846,37,33,10,43,49,40
1847,16,48,46,36,42,26
1848,48,43,38,6,10,36
1849,34,25,44,18,39,24
1850,1,27,14,23,30,40
1851,35,16,14,7,46,40
1852,29,15,21,46,36,18
1853,16,10,14,24,3,6
1854,11,8,44,10,46,35
1855,26,41,38,18,4,36
1856,16,28,17,43,20,36
1857,23,5,26,42,17,34
1858,44,48,1,34,2,25
1859,15,10,26,9,6,47
1860,38,3,12,16,28,18
1861,28,40,3,17,34,49
1862,22,21,18,17,41,8
1863,32,3,28,14,8,29
1864,48,34,20,27,47,2
1865,49,31,38,44,14,10
1866,26,1,32,18,12,7
1867,11,2,38,32,41,30
1868,31,1,36,39,24,14
1869,33,18,6,42,37,35
1870,30,44,27,29,28,45
1871,14,45,46,9,22,8
1872,10,17,47,11,12,23
1873,44,3,24,1,49,2
1874,31,9,7,17,10,47
1875,2,12,26,19,37,25
1876,11,21,20,8,41,34
1877,45,41,47,42,40,10
1878,13,16,32,7,10,36
1879,44,2,13,39,12,19
1880,29,10,2,30,3,18
1881,31,3,10,47,25,8
1882,14,43,23,21,33,16
1883,21,46,26,32,3,35
1884,5,28,26,35,12,47
1885,10,13,37,44,14,46
1886,26,49,9,20,48,6
1887,41,1,20,46,36,14
1888,32,25,11,21,14,38
1889,46,26,11,19,28,6
1890,8,18,44,27,2,13
1891,10,15,18,47,34,48
1892,8,35,4,28,40,22
1893,34,26,36,29,11,25
1894,41,16,14,8,29,47
1895,45,41,38,46,23,33
1896,21,20,9,5,2,14
1897,17,13,5,1,20,9
1898,43,39,4,28,20,5
1899,11,35,13,1,33,14
1900,28,6,49,18,9,36
1901,42,47,44,45,6,24
1902,36,29,4,1,45,42
1903,32,40,9,31,21,28
1904,23,46,8,11,48,13
1905,33,5,4,18,16,8
1906,47,21,1,40,31,39
1907,15,34,31,37,6,24
1908,25,4,19,41,20,36
