Data tragerii->,Nr.1,Nr.2,Nr.3,Nr.4,Nr.5,Nr.6
226,30,33,5,2,34,19
227,21,12,42,8,37,2
228,47,8,35,18,26,2
229,3,1,47,19,28,34
230,6,11,39,43,33,9
231,17,40,3,31,19,41
232,20,40,19,32,39,29
233,12,4,24,42,31,2
234,27,43,48,29,35,1
235,34,19,3,20,10,17
236,9,37,41,33,47,25
237,4,15,48,2,23,20
238,2,39,12,36,34,20
239,23,35,31,5,6,43
240,12,23,20,11,42,18
241,31,9,18,29,32,21
242,45,49,9,37,7,31
243,2,24,43,49,16,40
244,15,9,31,21,13,4
245,4,21,22,27,24,37
246,14,18,39,21,45,29
247,14,18,19,24,33,6
248,30,49,14,46,37,32
249,29,37,44,3,9,6
250,35,16,25,9,23,49
251,1,20,39,21,43,44
252,33,9,17,49,11,34
253,24,34,17,8,5,20
254,12,16,33,45,3,10
255,1,14,38,47,33,7
256,2,27,14,45,7,46
257,24,33,19,28,35,4
258,1,11,47,22,36,46
259,43,4,38,25,16,46
260,47,21,25,22,40,42
261,6,23,3,35,32,44
262,3,19,20,23,17,37
263,30,31,19,49,17,34
264,24,49,42,3,21,41
265,49,23,25,24,41,4
266,19,43,20,18,5,11
267,28,5,44,10,26,38
268,25,36,31,8,7,40
269,2,42,29,39,40,44
270,3,29,46,32,23,27
271,23,49,5,2,41,16
272,4,48,39,44,24,9
273,6,12,44,27,4,30
274,38,9,14,45,31,23
275,21,9,8,22,40,27
276,2,31,43,24,40,19
277,41,42,25,28,38,30
278,3,23,16,12,10,45
279,5,16,37,32,3,10
280,31,15,24,18,33,35
281,37,14,47,28,39,4
282,19,43,26,27,14,38
283,29,27,12,25,7,39
284,45,43,28,14,18,4
285,48,26,13,28,7,22
286,44,16,27,48,9,19
287,42,20,3,34,31,13
288,33,22,37,36,42,29
289,14,10,23,30,8,37
290,42,35,33,39,25,7
291,34,23,15,47,4,14
292,29,11,4,45,33,28
293,3,5,41,44,38,32
294,34,26,12,32,7,42
295,21,12,40,44,33,1
296,6,11,33,19,23,8
297,24,45,2,49,19,47
298,34,27,32,10,13,11
299,7,6,22,21,43,23
300,45,47,25,18,2,10
301,42,33,45,5,15,16
302,24,10,4,48,33,43
303,34,19,7,43,9,28
304,40,34,22,36,32,41
305,42,19,10,37,21,45
306,10,23,30,21,7,39
307,28,7,48,14,22,17
308,48,23,15,37,35,28
309,42,48,10,5,33,3
310,20,15,18,7,28,23
311,22,7,2,40,14,30
312,3,12,27,18,9,4
313,39,46,15,11,7,25
314,33,7,19,47,11,25
315,19,14,7,34,20,41
316,22,23,24,9,47,33
317,32,41,43,25,1,19
318,47,33,34,16,44,27
319,24,44,13,23,32,41
320,26,41,24,25,23,36
321,11,12,15,30,8,4
322,7,45,30,17,6,26
323,8,15,31,45,26,32
324,22,14,17,33,7,9
325,7,45,36,15,40,34
326,35,15,26,17,46,21
327,39,43,17,8,6,7
328,26,7,4,42,48,6
329,30,7,23,12,28,27
330,35,48,18,34,49,29
331,30,26,25,48,32,1
332,12,45,48,38,24,5
333,31,49,2,46,20,3
334,13,45,28,17,12,47
335,26,33,11,9,24,20
336,2,3,49,25,31,17
337,30,21,41,32,45,3
338,26,42,24,20,36,33
339,20,16,18,23,15,26
340,4,20,1,10,5,42
341,37,39,2,32,25,23
342,1,36,40,21,4,39
343,30,10,5,27,8,28
344,13,45,49,26,18,28
345,38,6,45,36,47,11
346,14,13,19,12,21,25
347,44,29,46,6,1,28
348,4,2,8,5,25,14
349,8,10,4,49,45,27
350,12,44,4,36,31,39
351,8,6,33,31,42,13
352,26,23,47,21,35,24
353,15,8,1,29,5,43
354,46,10,7,5,41,9
355,48,7,34,40,33,46
356,42,28,13,6,19,48
357,13,32,15,43,18,20
358,27,6,11,44,42,24
359,12,46,42,20,17,2
360,43,26,15,11,24,25
361,5,47,38,39,31,22
362,16,43,48,14,19,26
363,1,13,29,6,3,22
364,18,9,26,34,49,11
365,40,24,37,2,11,12
366,25,30,2,49,15,31
367,33,46,4,36,32,47
368,22,42,41,30,34,8
369,14,48,32,11,35,13
370,5,1,11,45,36,8
371,12,28,5,34,21,16
372,3,47,31,25,22,21
373,6,40,22,32,31,12
374,8,40,16,4,48,2
375,42,28,31,3,23,38
376,15,21,28,38,26,13
377,41,16,27,24,4,37
378,1,40,27,35,28,37
379,32,7,40,1,37,11
380,32,40,20,35,4,23
381,6,3,48,25,2,47
382,22,26,42,6,7,24
383,22,30,31,29,10,4
384,25,45,44,37,27,42
385,6,7,9,37,30,31
386,5,40,24,20,8,27
387,39,8,24,46,33,47
388,36,29,2,28,16,34
389,25,1,13,34,28,30
390,36,19,38,44,6,20
391,21,40,3,13,30,6
392,43,4,48,29,44,23
393,8,10,30,26,42,6
394,27,45,25,8,10,39
395,37,8,4,10,28,21
396,5,27,43,18,47,19
