Round,Nr.1,Nr.2,Nr.3,Nr.4,Nr.5,Nr.6
226,22,21,40,10,28,32
227,10,6,19,25,37,4
228,16,28,38,27,36,21
229,15,17,30,33,2,19
230,14,39,26,19,20,32
231,23,25,11,1,21,14
232,21,3,39,33,15,40
233,26,15,27,29,12,1
234,27,4,30,37,5,14
235,14,8,28,39,32,10
236,27,17,37,4,24,21
237,35,5,4,21,36,40
238,30,25,26,34,33,20
239,7,10,9,11,2,18
240,37,8,29,26,19,21
241,8,30,19,5,16,10
242,35,6,3,22,15,10
243,23,8,36,17,33,9
244,16,38,17,39,32,20
245,32,37,30,1,15,40
246,28,7,19,8,10,1
247,30,4,15,6,28,29
248,16,5,11,14,31,35
249,28,8,6,24,36,21
250,2,34,31,9,38,19
251,3,19,4,12,36,32
252,22,14,10,23,12,33
253,9,24,2,29,31,1
254,30,36,1,10,38,34
255,28,5,29,38,4,6
256,40,31,37,12,34,7
257,3,15,37,29,38,36
258,2,17,6,39,34,14
259,3,25,14,27,23,36
260,18,6,4,31,39,14
261,38,21,15,5,14,8
262,39,21,31,6,9,23
263,4,20,5,1,3,12
264,27,30,10,39,36,7
265,27,10,3,29,9,34
266,25,9,17,3,35,13
267,13,6,39,9,37,19
268,37,15,28,18,20,9
269,22,16,19,5,31,30
270,39,2,3,11,10,23
271,15,28,14,32,2,11
272,38,1,9,20,2,32
273,20,5,34,1,18,2
274,24,37,11,5,26,15
275,14,3,12,4,8,23
276,17,23,38,34,6,36
277,9,23,28,37,4,14
278,28,2,13,6,36,40
279,26,6,32,21,18,27
280,19,24,5,34,37,12
281,34,40,36,39,33,26
282,27,3,13,36,17,32
283,29,22,2,34,17,10
284,12,4,37,20,36,1
285,8,3,1,40,30,22
286,11,17,32,27,33,40
287,19,12,23,37,34,1
288,21,29,30,10,37,34
289,11,24,8,19,31,25
290,8,12,33,23,28,37
291,5,21,17,2,23,3
292,19,14,35,36,26,37
293,13,17,38,21,2,36
294,12,19,20,3,22,28
295,15,31,23,29,30,7
296,21,40,12,9,2,6
297,16,2,26,25,4,31
298,3,6,38,1,17,22
299,26,25,12,7,11,13
300,25,33,18,21,19,28
301,14,38,1,29,16,18
302,9,40,29,2,38,14
303,25,14,6,4,23,16
304,33,40,35,9,14,32
305,21,25,28,33,10,24
306,7,22,25,38,9,27
307,18,6,7,13,17,30
308,31,14,11,10,6,2
309,19,27,34,26,5,3
310,30,26,34,32,31,36
311,10,24,23,13,14,40
312,3,34,40,17,19,35
313,4,22,30,6,8,28
314,6,4,22,18,38,9
315,27,1,13,21,23,33
316,17,28,27,3,24,9
317,16,23,35,4,8,39
318,17,31,28,1,21,6
319,18,37,16,21,5,25
320,22,16,35,36,27,32
321,8,6,37,2,20,38
322,35,17,19,24,31,10
323,33,4,17,30,1,6
324,31,24,28,30,25,9
325,26,22,5,29,23,3
326,9,3,20,28,30,10
327,23,33,22,11,30,4
328,9,20,5,21,34,12
329,11,18,17,25,10,4
330,17,26,28,1,14,12
331,27,16,14,3,19,17
332,4,1,26,11,21,29
333,21,1,4,13,37,30
334,37,17,21,10,20,27
335,25,8,30,22,12,40
336,7,21,20,12,6,34
337,29,26,20,15,38,12
338,20,22,5,6,7,27
339,28,40,22,19,9,35
340,28,35,16,2,3,38
341,23,26,25,2,9,21
342,32,7,40,36,18,12
343,11,14,23,13,1,27
344,36,34,6,40,17,5
345,16,26,40,28,5,24
346,35,15,30,28,5,21
347,25,40,20,30,1,34
348,27,32,35,29,5,28
349,15,12,31,7,17,21
350,7,6,8,14,27,1
351,4,14,15,1,19,11
352,35,33,39,25,34,29
353,33,3,28,13,25,27
354,7,18,22,33,40,8
355,18,31,15,12,24,40
